Disaster Type,Magnitude,Magnitude Scale,Minimum Temperature,Maximum Temperature,Dew Point,Temperature,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Direction,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Weather Type,Precipitation,Cloud Cover,Sea Level Pressure,Precipitation Cover
Earthquake,6.7,Richter,43.1,59.9,49.9,53.2,0.3,18.1,6.7,251.46,76.19,97.96,88.69,"Drizzle, Mist, Rain, Rain Showers, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1.14,79.3,1004.4,16.67
Earthquake,6.6,Richter,71.0,80.1,70.3,74.0,2.3,12.5,6.8,230.5,75.14,97.98,88.64,"Rain Showers, Sky Coverage Increasing",0.04,91.1,1001.5,8.33
Earthquake,6.2,Richter,56.7,69.9,60.0,61.6,0.0,17.9,6.8,314.16,82.88,100.0,94.43,"Drizzle, Mist, Rain Showers, Sky Coverage Increasing",0.22,83.6,1006.3,8.33
Earthquake,8.0,Richter,57.3,69.9,55.2,61.6,0.0,11.4,4.3,208.67,60.25,88.02,80.14,"Mist, Light Drizzle, Sky Unchanged",0.0,93.3,1016.0,0.0
Earthquake,4.1,Richter,67.4,82.5,62.3,77.0,9.2,18.3,14.3,331.67,48.1,85.5,61.85,Smoke Or Haze,0.0,39.2,1015.3,0.0
Earthquake,6.7,Richter,44.1,58.4,46.5,51.0,3.7,16.6,8.7,250.17,72.39,91.2,84.7,"Drizzle, Heavy Drizzle, Mist, Rain, Rain Showers, Fog, Light Rain, Smoke Or Haze",0.56,84.3,1003.3,12.5
Earthquake,8.0,Richter,53.9,66.3,54.9,61.0,2.2,12.8,6.2,189.0,72.59,93.65,80.8,"Mist, Sky Coverage Increasing",0.0,64.5,1015.8,0.0
Earthquake,5.3,Richter,64.2,86.1,65.6,75.1,0.0,17.2,10.7,248.35,51.77,94.86,73.83,Mist,0.0,44.2,1016.5,0.0
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,8.0,Richter,53.9,66.3,54.9,61.0,2.2,12.8,6.2,189.0,72.59,93.65,80.8,"Mist, Sky Coverage Increasing",0.0,64.5,1015.8,0.0
Earthquake,5.3,Richter,64.2,86.1,65.6,75.1,0.0,17.2,10.7,248.35,51.77,94.86,73.83,Mist,0.0,44.2,1016.5,0.0
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,7.4,Richter,70.9,84.3,68.6,76.9,0.0,9.6,5.5,78.86,59.09,90.12,76.52,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Coverage Increasing, Sky Unchanged",0.16,44.3,1011.5,8.7
Earthquake,4.6,Richter,49.6,65.1,49.4,55.6,7.0,16.6,12.7,35.54,62.87,91.32,80.45,"Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",0.0,63.1,1021.8,0.0
Earthquake,5.6,Richter,14.8,23.1,15.7,17.8,0.0,6.7,4.0,141.83,79.49,100.0,91.68,"Snow Showers, Mist, Light Snow, Fog, Snow",0.01,98.3,1033.0,4.17
Earthquake,4.5,Richter,55.5,75.4,49.2,63.5,0.0,17.7,7.6,168.77,33.93,82.27,62.07,Smoke Or Haze,0.04,69.3,1015.0,4.17
Earthquake,7.9,Richter,62.7,84.3,57.4,72.4,2.2,8.9,3.8,318.75,40.31,82.76,61.04,"Mist, Smoke Or Haze",0.0,24.3,1013.0,0.0
