DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2001-0299-CMR,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,CMR,Cameroon,Sub-Saharan Africa,Africa,"Limbé area (Fako district, Sud - Ouest province)",Brief torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,1080.0,Km2,4.022,9.2,,2001,6.0,28.0,2001,6.0,29.0,30.0,,,1500.0,1500.0,,,,,,,60.5035788853056,"[{""adm2_code"":12510,""adm2_name"":""Fako""}]",2005-09-19,2023-09-25
2006-0038-BRA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BRA,Brazil,Latin America and the Caribbean,Americas,Rio de Janeiro district (Rio de Janeiro province),Brief torrential rain,,No,No,No,,9335.0,Km2,-22.56,-43.36,,2006,1.0,27.0,2006,1.0,30.0,12.0,,,,,,,,,,,68.8837587123464,"[{""adm2_code"":9961,""adm2_name"":""Rio De Janeiro""}]",2007-01-04,2023-09-25
2006-0039-BOL,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Trinidad city (Cercado district, Beni province), San Borja, Rurrenabaque cities (General Jose Ballivi district, Beni province), Riberalta city (Vaca Diez district, Beni province), Viloma city (Quillacollo district, Cochabamba province), Tiraque district (Cochabamba province), La Paz city (Murillo district, La Paz province), Luribay city (Loayza district, La Paz province), Papel Pampa, San Pedro de Curahuara municipalities (Gualberto Villarroel district, La Paz province), Los Yungas (Sur Yungas, Nor Yungas, Caranavi districts, La Paz province), Jorochito, Tiquipaya, Pailas, El Espino cites (Andres Ibanez district, Santa Cruz province), Boyuibe city (Cordillera district, Santa Cruz province), Cuatro Canadas, San Julian municipalities (Nuflo de Chavez district, Santa Cruz province), Okinawa city (Warnes district, Santa Cruz province), Villa Montes municipality (Gran Chaco district, Tarija province), Chuquisaca, Pando, Potosi provinces",Heavy rains,"Slide (land, mud, snow, rock)",Yes,Yes,Yes,2932.0,955800.0,Km2,-16.03,-63.43,"Rio Grande, Guanay, Tipuani, Mapiri, Challana",2006,1.0,25.0,2006,4.0,17.0,25.0,21.0,126075.0,,126096.0,,,,,35000.0,50810.0,68.8837587123464,"[{""adm1_code"":648,""adm1_name"":""Pando""},{""adm1_code"":40444,""adm1_name"":""Chuquisaca""},{""adm1_code"":40448,""adm1_name"":""Potosi""},{""adm2_code"":6141,""adm2_name"":""Cercado""},{""adm2_code"":6142,""adm2_name"":""General Jose Ballivi""},{""adm2_code"":6147,""adm2_name"":""Vaca Diez""},{""adm2_code"":40476,""adm2_name"":""Quillacollo""},{""adm2_code"":40478,""adm2_name"":""Tiraque""},{""adm2_code"":6185,""adm2_name"":""Murillo""},{""adm2_code"":6190,""adm2_name"":""Sur Yungas""},{""adm2_code"":40480,""adm2_name"":""Caranavi""},{""adm2_code"":40482,""adm2_name"":""Gualberto Villarroel""},{""adm2_code"":40485,""adm2_name"":""Loayza""},{""adm2_code"":40487,""adm2_name"":""Nor Yungas""},{""adm2_code"":40499,""adm2_name"":""Sajama""},{""adm2_code"":40523,""adm2_name"":""Andres Ibañez""},{""adm2_code"":40525,""adm2_name"":""Cordillera""},{""adm2_code"":40531,""adm2_name"":""Ñuflo De Chavez""},{""adm2_code"":40535,""adm2_name"":""Warnes""},{""adm2_code"":40539,""adm2_name"":""Gran Chaco""}]",2007-02-15,2023-09-25
2006-0040-PHL,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PHL,Philippines,South-eastern Asia,Asia,"Nueva Ecija, Aurora districts (Region III province), Kalinga, Abra districts (CAR province), Cagayan, Isabela districts (Region II province), Quezon district (Region IV-A province)",Tropical Depression Agaton,,No,No,No,,63470.0,Km2,17.02,121.82,"Tupingan, Pampanga, Cagayan",2006,1.0,26.0,2006,2.0,5.0,4.0,,256641.0,,256641.0,,,,,9600.0,13937.0,68.8837587123464,"[{""adm2_code"":24204,""adm2_name"":""Abra""},{""adm2_code"":24208,""adm2_name"":""Kalinga""},{""adm2_code"":24216,""adm2_name"":""Cagayan""},{""adm2_code"":24217,""adm2_name"":""Isabela""},{""adm2_code"":24222,""adm2_name"":""Nueva Ecija""},{""adm2_code"":24226,""adm2_name"":""Aurora""},{""adm2_code"":24234,""adm2_name"":""Quezon""}]",2007-01-04,2023-09-25
2006-0041-GUY,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GUY,Guyana,Latin America and the Caribbean,Americas,"Barima Waini (region N°1), Pomeroon/supenaam (region N°2), Essequibo Islands/west Demerara (region N°3), Mahaica Berbice (region N°5), East Berbice/corentyne (region N°6) provinces",Heavy rains,,No,Yes,Yes,,24224.0,Km2,6.89,-58.66,"Mahaica, Pomeroon, Demerara, Mahiacony, Abary",2006,1.0,8.0,2006,2.0,14.0,,,35000.0,,35000.0,,,,,169000.0,245341.0,68.8837587123464,"[{""adm1_code"":1398,""adm1_name"":""Barima Waini (region N°1)""},{""adm1_code"":1401,""adm1_name"":""East Berbice/corentyne (region N°6)""},{""adm1_code"":1402,""adm1_name"":""Essequibo Islands/west Demerara (region N°3)""},{""adm1_code"":1403,""adm1_name"":""Mahaica Berbice (region N°5)""},{""adm1_code"":1404,""adm1_name"":""Pomeroon/supenaam (region N°2""}]",2007-01-04,2023-09-25
2006-0065-IRQ,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IRQ,Iraq,Western Asia,Asia,"Erbil, Salah al-Din, Kirkuk, Diyala, Missan provinces","Heavy rains, melting ice",,No,No,No,,77640.0,Km2,34.21,45.49,Tigris,2006,2.0,4.0,2006,2.0,12.0,,,41890.0,,41890.0,,,,,1300.0,1887.0,68.8837587123464,"[{""adm1_code"":1569,""adm1_name"":""Erbil""},{""adm1_code"":1570,""adm1_name"":""Kirkuk""},{""adm1_code"":1575,""adm1_name"":""Diyala""},{""adm1_code"":1577,""adm1_name"":""Missan""},{""adm1_code"":1579,""adm1_name"":""Salah al-Din""}]",2007-01-04,2023-09-25
2006-0071-FJI,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,FJI,Fiji,Melanesia,Oceania,Macuata district (Northern province),Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,2370.0,Km2,-16.45,179.65,"Waiqele, Naseakula",2006,2.0,4.0,2006,2.0,9.0,4.0,,224.0,,224.0,,,,,500.0,726.0,68.8837587123464,"[{""adm2_code"":40202,""adm2_name"":""Macuata""}]",2007-01-04,2023-09-25
2006-0074-IDN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IDN,Indonesia,South-eastern Asia,Asia,"Lasem, Pamotan, Sedan areas (Rembang district, Jawa Tengah province), Demak, Kota Semarang, Semarang districts (Jawa Tengah province), Indramayu district (Jawa Barat province), Dki Jakarta province ",Mosnoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,73070.0,Km2,-6.85,108.59,"Karanggeneng, Beringin, Cimanuk, Cilalanang, Cipanas, Cipunegara",2006,1.0,26.0,2006,2.0,14.0,19.0,,10000.0,,10000.0,,,,,27100.0,39342.0,68.8837587123464,"[{""adm1_code"":1516,""adm1_name"":""Dki Jakarta""},{""adm2_code"":18037,""adm2_name"":""Demak""},{""adm2_code"":18046,""adm2_name"":""Kota Semarang""},{""adm2_code"":18056,""adm2_name"":""Rembang""},{""adm2_code"":18057,""adm2_name"":""Semarang""},{""adm2_code"":18013,""adm2_name"":""Indramayu""}]",2007-01-04,2023-09-25
2006-0082-PNG,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,PNG,Papua New Guinea,Melanesia,Oceania,"Babiko, Mou, Apanapi, Rapa, Mekeo, Inauabui, Veifa, Biotou, Kairuku areas (Kairuku district, Central province)",Heavy rains,,No,No,No,,34450.0,Km2,-9.07,147.28,Kemp Welsh,2006,2.0,3.0,2006,2.0,19.0,1.0,,,12000.0,12000.0,,,,,,,68.8837587123464,"[{""adm2_code"":37473,""adm2_name"":""Kairuku""}]",2007-01-04,2023-09-25
2006-0088-DZA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,DZA,Algeria,Northern Africa,Africa,Tindouf province,Heavy rain,,Yes,No,No,2962.0,180500.0,Km2,27.67,-5.91,Illizi,2006,2.0,10.0,2006,2.0,15.0,1.0,,60000.0,,60000.0,,,,,1200.0,1742.0,68.8837587123464,"[{""adm1_code"":383,""adm1_name"":""Tindouf""}]",2007-02-13,2023-09-25
2006-0093-ECU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,ECU,Ecuador,Latin America and the Caribbean,Americas,"Quevedo, Babahoyo, Vinces, Baba, Urdaneta, Montalvo districts (Los Rios province), Santa Rosa, Portovelo, Huaquillas, Arenillas districts (El Oro province), Salitre district (Gayas province), Eloy Alfaro district (Esmeraldas province), Portoviejo, Montecristi, Chone, Tosagua, Rocafuerte, Sucre district (Manabi province), Pichincha, Santa Elena, Santo Domingo de los Tsachilas, Zona No Delimitada provinces",Heavy rains,"Slide (land, mud, snow, rock)",Yes,No,No,1670.0,30150.0,Km2,-2.23,-79.98,"Guayas, Babahoyo, San Pablo, Catarama",2006,2.0,16.0,2006,5.0,6.0,16.0,,57670.0,,57670.0,,,,,2800.0,4065.0,68.8837587123464,"[{""adm1_code"":1157,""adm1_name"":""Zona No Delimitada""},{""adm1_code"":22006,""adm1_name"":""Pichincha""},{""adm1_code"":22007,""adm1_name"":""Santa Elena""},{""adm1_code"":22008,""adm1_name"":""Santo Domingo de los Tsachilas""},{""adm2_code"":15368,""adm2_name"":""Arenillas""},{""adm2_code"":15373,""adm2_name"":""Huaquillas""},{""adm2_code"":15381,""adm2_name"":""Portovelo""},{""adm2_code"":15382,""adm2_name"":""Santa Rosa""},{""adm2_code"":15385,""adm2_name"":""Eloy Alfaro""},{""adm2_code"":15461,""adm2_name"":""Baba""},{""adm2_code"":15462,""adm2_name"":""Babahoyo""},{""adm2_code"":15464,""adm2_name"":""Montalvo""},{""adm2_code"":15468,""adm2_name"":""Urdaneta""},{""adm2_code"":15470,""adm2_name"":""Vinces""},{""adm2_code"":22051,""adm2_name"":""Quevedo""},{""adm2_code"":15473,""adm2_name"":""Chone""},{""adm2_code"":15483,""adm2_name"":""Portoviejo""},{""adm2_code"":15484,""adm2_name"":""Rocafuerte""},{""adm2_code"":15487,""adm2_name"":""Tosagua""},{""adm2_code"":22058,""adm2_name"":""Montecristi""},{""adm2_code"":22063,""adm2_name"":""Sucre""},{""adm2_code"":15438,""adm2_name"":""Salitre""}]",2007-02-15,2023-09-25
2006-0095-YEM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,YEM,Yemen,Western Asia,Asia,"Ma'arbar city (Jahran district, Dhamar province)",Heavy rain,,No,No,No,,10710.0,Km2,14.54,44.18,,2006,2.0,20.0,2006,2.0,23.0,5.0,,,2000.0,2000.0,,,,,,,68.8837587123464,"[{""adm2_code"":32817,""adm2_name"":""Jahran""}]",2007-01-04,2023-09-25
