Disaster Type,Magnitude,Magnitude Scale,Minimum Temperature,Maximum Temperature,Dew Point,Temperature,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Direction,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Weather Type,Precipitation,Cloud Cover,Sea Level Pressure,Precipitation Cover
Storm,160.0,Kph,75.3,87.9,75.1,82.0,0.0,18.3,10.9,43.68,68.28,94.08,80.16,"Precipitation In Vicinity, Rain, Rain Showers, Sky Unchanged",0.2,70.0,1012.2,4.76
Storm,160.0,Kph,72.8,80.7,74.4,77.0,0.0,42.4,10.1,71.94,74.26,100.0,92.05,"Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",1.4,96.2,1008.7,18.18
Storm,160.0,Kph,77.1,87.9,74.9,82.0,2.2,19.4,10.5,81.3,64.46,94.19,79.53,"Rain Showers, Sky Coverage Decreasing, Smoke Or Haze",3.2,64.1,1013.0,16.67
Storm,160.0,Kph,78.2,87.9,73.6,82.4,0.0,13.9,8.3,52.65,59.07,88.24,75.21,Precipitation In Vicinity,0.0,51.3,1012.7,4.17
Storm,160.0,Kph,75.3,87.9,74.6,81.0,0.0,13.9,6.1,93.17,65.7,94.19,81.79,"Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.16,76.1,1011.7,9.09
Storm,160.0,Kph,76.4,90.7,75.0,82.0,0.0,11.4,6.1,105.95,57.57,95.32,80.91,"Rain Showers, Sky Coverage Decreasing",0.47,71.5,1014.5,9.52
Storm,160.0,Kph,78.9,87.2,75.9,82.1,2.2,16.1,9.1,51.0,67.05,94.24,82.03,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.1,61.6,1014.3,8.33
Storm,160.0,Kph,78.9,87.9,75.0,83.2,5.8,16.1,11.0,77.13,62.51,88.76,76.9,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze",0.02,43.6,1012.8,8.33
Storm,160.0,Kph,77.1,89.7,73.4,82.9,2.2,12.8,8.1,63.91,54.53,89.77,74.14,Smoke Or Haze,0.0,41.7,1011.8,0.0
Storm,265.0,Kph,76.4,90.7,75.0,82.0,0.0,11.4,6.1,105.95,57.62,95.32,80.92,"Rain Showers, Sky Coverage Decreasing",0.47,71.5,1014.5,9.52
Storm,265.0,Kph,78.9,87.2,75.9,82.1,2.2,16.1,9.1,51.0,67.05,94.24,82.03,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.1,61.6,1014.3,8.33
Storm,265.0,Kph,78.9,87.9,75.0,83.2,5.8,16.1,11.0,77.21,62.51,88.76,76.89,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze",0.02,43.6,1012.8,8.33
Storm,265.0,Kph,77.1,89.7,73.4,82.9,2.2,12.8,8.1,63.96,54.56,89.77,74.15,Smoke Or Haze,0.0,41.7,1011.8,0.0
Storm,160.0,Kph,75.3,87.9,75.1,82.0,0.0,18.3,10.9,43.68,68.28,94.14,80.16,"Precipitation In Vicinity, Rain, Rain Showers, Sky Unchanged",0.2,70.0,1012.2,4.76
Storm,160.0,Kph,72.8,80.7,74.4,77.0,0.0,42.4,10.1,71.94,74.2,100.0,92.04,"Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",1.39,96.2,1008.7,18.18
Storm,160.0,Kph,77.1,87.9,74.9,82.0,2.2,19.4,10.5,81.3,64.42,94.19,79.52,"Rain Showers, Sky Coverage Decreasing, Smoke Or Haze",3.21,64.1,1013.0,16.67
Storm,160.0,Kph,78.2,87.9,73.6,82.4,0.0,13.9,8.3,52.61,59.07,88.24,75.21,Precipitation In Vicinity,0.0,51.3,1012.7,4.17
Storm,160.0,Kph,75.3,87.9,74.6,81.0,0.0,13.9,6.1,93.33,65.65,94.19,81.79,"Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.16,76.2,1011.7,9.09
Storm,160.0,Kph,76.4,90.7,75.0,82.0,0.0,11.4,6.1,105.95,57.5,95.32,80.91,"Rain Showers, Sky Coverage Decreasing",0.47,71.5,1014.5,9.52
Storm,160.0,Kph,78.9,87.2,75.9,82.1,2.2,16.1,9.1,50.87,67.05,94.24,82.03,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.1,61.6,1014.3,8.33
Storm,160.0,Kph,78.9,87.9,75.0,83.2,5.8,16.1,11.0,77.08,62.51,88.76,76.9,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze",0.02,43.6,1012.8,8.33
Storm,160.0,Kph,77.1,89.7,73.4,82.9,2.2,12.8,8.1,63.91,54.5,89.77,74.13,Smoke Or Haze,0.0,41.7,1011.8,0.0
Storm,25810.0,Kph,73.5,76.2,73.5,75.2,0.0,13.4,9.3,360.0,90.24,95.89,94.49,Light Rain,2.81,100.0,1005.3,100.0
Storm,25810.0,Kph,73.7,82.5,74.6,77.6,0.0,2.2,0.3,180.0,85.3,95.32,90.6,"Light Rain, Smoke Or Haze",1.24,91.3,1003.1,37.5
Storm,25810.0,Kph,74.0,88.8,76.5,82.0,0.0,11.2,3.7,180.0,74.0,91.3,83.81,"Lightning Without Thunder, Smoke Or Haze",0.0,76.7,1005.1,0.0
Storm,170.0,Kph,72.6,78.9,74.3,76.0,2.2,11.2,7.4,356.09,91.81,96.47,94.37,"Rain, Light Rain, Smoke Or Haze",0.87,100.0,1003.7,26.09
Storm,170.0,Kph,74.4,89.0,75.3,81.0,2.2,44.7,15.0,201.05,70.59,97.04,83.46,"Rain, Light Rain, Smoke Or Haze",1.57,98.9,994.7,15.79
Storm,170.0,Kph,71.9,82.5,72.0,76.6,0.0,11.2,7.2,275.38,70.62,89.22,85.64,"Light Rain, Smoke Or Haze",0.0,84.7,1000.7,0.0
Storm,170.0,Kph,70.8,75.3,69.7,71.9,0.0,8.9,4.1,355.0,88.99,96.4,92.95,"Rain, Light Rain",0.39,100.0,1005.4,38.46
Storm,170.0,Kph,69.9,77.1,69.4,72.6,0.0,4.5,2.6,360.0,83.97,95.8,89.69,Smoke Or Haze,4.02,85.0,1012.0,33.33
Storm,170.0,Kph,68.1,80.7,68.4,72.7,0.0,11.2,2.5,360.0,77.69,91.66,86.58,Smoke Or Haze,0.0,50.0,1016.8,0.0
Storm,170.0,Kph,68.1,75.8,68.0,71.9,0.0,2.2,0.3,360.0,76.02,91.72,87.7,Smoke Or Haze,0.0,81.4,1017.9,0.0
Storm,170.0,Kph,69.9,85.2,72.2,76.6,0.0,2.2,1.3,315.0,75.9,90.73,84.88,Smoke Or Haze,0.0,44.3,1016.3,0.0
Storm,129.0,Kph,72.3,77.6,73.0,74.4,0.0,2.2,1.2,277.14,92.2,96.73,95.31,"Precipitation In Vicinity, Rain, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1.16,100.0,1006.4,100.0
Storm,129.0,Kph,73.5,77.6,74.0,75.4,1.2,4.1,2.0,226.38,91.94,98.09,95.56,"Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",1.63,98.3,1005.0,100.0
Storm,129.0,Kph,74.3,83.6,74.7,77.9,0.0,3.2,1.7,207.17,79.9,95.77,90.24,"Precipitation In Vicinity, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",0.67,90.2,1006.4,50.0
Storm,129.0,Kph,73.4,83.7,73.9,77.8,0.5,2.0,1.3,255.0,75.43,95.72,88.14,"Precipitation In Vicinity, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.37,92.7,1008.0,37.5
Storm,129.0,Kph,73.1,86.4,73.6,79.2,1.2,7.1,3.8,241.25,72.63,92.56,83.4,"Precipitation In Vicinity, Smoke Or Haze",0.0,75.7,1007.1,0.0
Storm,129.0,Kph,75.8,84.8,73.6,80.0,1.8,5.6,3.5,256.86,71.1,90.34,81.28,"Precipitation In Vicinity, Rain Showers, Smoke Or Haze",0.02,99.3,1005.8,14.29
Storm,160.0,Kph,47.2,57.6,51.4,54.5,7.6,23.2,16.4,191.08,83.08,92.29,89.38,"Mist, Light Drizzle, Rain, Rain Showers, Heavy Rain, Light Rain, Smoke Or Haze",3.79,99.6,1002.4,95.83
Storm,160.0,Kph,46.7,55.9,48.1,52.6,6.8,15.9,12.4,200.83,73.1,90.97,84.6,"Mist, Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain",0.25,92.4,1020.2,70.83
Storm,160.0,Kph,38.3,47.0,40.4,42.8,0.0,7.6,3.4,184.39,83.07,95.09,91.39,"Mist, Fog, Light Rain",0.01,68.4,1021.1,12.5
Storm,160.0,Kph,41.1,43.5,38.2,41.9,1.2,8.1,4.5,44.54,78.49,95.11,86.85,"Mist, Light Drizzle, Fog, Light Rain",0.1,99.6,1012.0,41.67
Storm,160.0,Kph,37.1,41.5,32.1,39.5,0.3,7.9,3.1,105.96,62.6,85.09,74.94,"Mist, Light Rain",0.0,96.8,1018.2,0.0
Storm,265.0,Kph,76.4,90.7,75.0,82.0,0.0,11.4,6.1,105.95,57.62,95.32,80.92,"Rain Showers, Sky Coverage Decreasing",0.47,71.5,1014.5,9.52
Storm,265.0,Kph,78.9,87.2,75.9,82.1,2.2,16.1,9.1,51.0,67.05,94.24,82.03,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.1,61.6,1014.3,8.33
Storm,265.0,Kph,78.9,87.9,75.0,83.2,5.8,16.1,11.0,77.21,62.51,88.76,76.89,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze",0.02,43.6,1012.8,8.33
Storm,265.0,Kph,77.1,89.7,73.4,82.9,2.2,12.8,8.1,63.96,54.56,89.77,74.15,Smoke Or Haze,0.0,41.7,1011.8,0.0
Storm,160.0,Kph,75.3,87.9,75.1,82.0,0.0,18.3,10.9,43.68,68.28,94.14,80.16,"Precipitation In Vicinity, Rain, Rain Showers, Sky Unchanged",0.2,70.0,1012.2,4.76
Storm,160.0,Kph,72.8,80.7,74.4,77.0,0.0,42.4,10.1,71.94,74.2,100.0,92.04,"Precipitation In Vicinity, Rain, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Light Rain",1.39,96.2,1008.7,18.18
Storm,160.0,Kph,77.1,87.9,74.9,82.0,2.2,19.4,10.5,81.3,64.42,94.19,79.52,"Rain Showers, Sky Coverage Decreasing, Smoke Or Haze",3.21,64.1,1013.0,16.67
Storm,160.0,Kph,78.2,87.9,73.6,82.4,0.0,13.9,8.3,52.61,59.07,88.24,75.21,Precipitation In Vicinity,0.0,51.3,1012.7,4.17
Storm,160.0,Kph,75.3,87.9,74.6,81.0,0.0,13.9,6.1,93.33,65.65,94.19,81.79,"Precipitation In Vicinity, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.16,76.2,1011.7,9.09
Storm,160.0,Kph,76.4,90.7,75.0,82.0,0.0,11.4,6.1,105.95,57.5,95.32,80.91,"Rain Showers, Sky Coverage Decreasing",0.47,71.5,1014.5,9.52
Storm,160.0,Kph,78.9,87.2,75.9,82.1,2.2,16.1,9.1,50.87,67.05,94.24,82.03,"Precipitation In Vicinity, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.1,61.6,1014.3,8.33
Storm,160.0,Kph,78.9,87.9,75.0,83.2,5.8,16.1,11.0,77.08,62.51,88.76,76.9,"Precipitation In Vicinity, Sky Coverage Decreasing, Sky Unchanged, Smoke Or Haze",0.02,43.6,1012.8,8.33
Storm,160.0,Kph,77.1,89.7,73.4,82.9,2.2,12.8,8.1,63.91,54.5,89.77,74.13,Smoke Or Haze,0.0,41.7,1011.8,0.0
Storm,25810.0,Kph,73.5,76.2,73.5,75.2,0.0,13.4,9.3,360.0,90.24,95.89,94.49,Light Rain,2.81,100.0,1005.3,100.0
Storm,25810.0,Kph,73.7,82.5,74.6,77.6,0.0,2.2,0.3,180.0,85.3,95.32,90.6,"Light Rain, Smoke Or Haze",1.24,91.3,1003.1,37.5
Storm,25810.0,Kph,74.0,88.8,76.5,82.0,0.0,11.2,3.7,180.0,74.0,91.3,83.81,"Lightning Without Thunder, Smoke Or Haze",0.0,76.7,1005.1,0.0
Storm,170.0,Kph,72.6,78.9,74.3,76.0,2.2,11.2,7.4,356.09,91.81,96.47,94.37,"Rain, Light Rain, Smoke Or Haze",0.87,100.0,1003.7,26.09
Storm,170.0,Kph,74.4,89.0,75.3,81.0,2.2,44.7,15.0,201.05,70.59,97.04,83.46,"Rain, Light Rain, Smoke Or Haze",1.57,98.9,994.7,15.79
Storm,170.0,Kph,71.9,82.5,72.0,76.6,0.0,11.2,7.2,275.38,70.62,89.22,85.64,"Light Rain, Smoke Or Haze",0.0,84.7,1000.7,0.0
Storm,170.0,Kph,70.8,75.3,69.7,71.9,0.0,8.9,4.1,355.0,88.99,96.4,92.95,"Rain, Light Rain",0.39,100.0,1005.4,38.46
Storm,170.0,Kph,69.9,77.1,69.4,72.6,0.0,4.5,2.6,360.0,83.97,95.8,89.69,Smoke Or Haze,4.02,85.0,1012.0,33.33
Storm,170.0,Kph,68.1,80.7,68.4,72.7,0.0,11.2,2.5,360.0,77.69,91.66,86.58,Smoke Or Haze,0.0,50.0,1016.8,0.0
Storm,170.0,Kph,68.1,75.8,68.0,71.9,0.0,2.2,0.3,360.0,76.02,91.72,87.7,Smoke Or Haze,0.0,81.4,1017.9,0.0
Storm,170.0,Kph,69.9,85.2,72.2,76.6,0.0,2.2,1.3,315.0,75.9,90.73,84.88,Smoke Or Haze,0.0,44.3,1016.3,0.0
Storm,129.0,Kph,72.3,77.6,73.0,74.4,0.0,2.2,1.2,277.14,92.2,96.73,95.31,"Precipitation In Vicinity, Rain, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1.16,100.0,1006.4,100.0
Storm,129.0,Kph,73.5,77.6,74.0,75.4,1.2,4.1,2.0,226.38,91.94,98.09,95.56,"Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",1.63,98.3,1005.0,100.0
Storm,129.0,Kph,74.3,83.6,74.7,77.9,0.0,3.2,1.7,207.17,79.9,95.77,90.24,"Precipitation In Vicinity, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",0.67,90.2,1006.4,50.0
Storm,129.0,Kph,73.4,83.7,73.9,77.8,0.5,2.0,1.3,255.0,75.43,95.72,88.14,"Precipitation In Vicinity, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.37,92.7,1008.0,37.5
Storm,129.0,Kph,73.1,86.4,73.6,79.2,1.2,7.1,3.8,241.25,72.63,92.56,83.4,"Precipitation In Vicinity, Smoke Or Haze",0.0,75.7,1007.1,0.0
Storm,129.0,Kph,75.8,84.8,73.6,80.0,1.8,5.6,3.5,256.86,71.1,90.34,81.28,"Precipitation In Vicinity, Rain Showers, Smoke Or Haze",0.02,99.3,1005.8,14.29
Storm,160.0,Kph,47.2,57.6,51.4,54.5,7.6,23.2,16.4,191.08,83.08,92.29,89.38,"Mist, Light Drizzle, Rain, Rain Showers, Heavy Rain, Light Rain, Smoke Or Haze",3.79,99.6,1002.4,95.83
Storm,160.0,Kph,46.7,55.9,48.1,52.6,6.8,15.9,12.4,200.83,73.1,90.97,84.6,"Mist, Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain",0.25,92.4,1020.2,70.83
Storm,160.0,Kph,38.3,47.0,40.4,42.8,0.0,7.6,3.4,184.39,83.07,95.09,91.39,"Mist, Fog, Light Rain",0.01,68.4,1021.1,12.5
Storm,160.0,Kph,41.1,43.5,38.2,41.9,1.2,8.1,4.5,44.54,78.49,95.11,86.85,"Mist, Light Drizzle, Fog, Light Rain",0.1,99.6,1012.0,41.67
Storm,160.0,Kph,37.1,41.5,32.1,39.5,0.3,7.9,3.1,105.96,62.6,85.09,74.94,"Mist, Light Rain",0.0,96.8,1018.2,0.0
Storm,25810.0,Kph,73.5,76.2,73.5,75.2,0.0,13.4,9.3,360.0,90.24,95.89,94.49,Light Rain,2.81,100.0,1005.3,100.0
Storm,25810.0,Kph,73.7,82.5,74.6,77.6,0.0,2.2,0.3,180.0,85.3,95.32,90.6,"Light Rain, Smoke Or Haze",1.24,91.3,1003.1,37.5
Storm,25810.0,Kph,74.0,88.8,76.5,82.0,0.0,11.2,3.7,180.0,74.0,91.3,83.81,"Lightning Without Thunder, Smoke Or Haze",0.0,76.7,1005.1,0.0
Storm,170.0,Kph,72.6,78.9,74.3,76.0,2.2,11.2,7.4,356.09,91.81,96.47,94.37,"Rain, Light Rain, Smoke Or Haze",0.87,100.0,1003.7,26.09
Storm,170.0,Kph,74.4,89.0,75.3,81.0,2.2,44.7,15.0,201.05,70.59,97.04,83.46,"Rain, Light Rain, Smoke Or Haze",1.57,98.9,994.7,15.79
Storm,170.0,Kph,71.9,82.5,72.0,76.6,0.0,11.2,7.2,275.38,70.62,89.22,85.64,"Light Rain, Smoke Or Haze",0.0,84.7,1000.7,0.0
Storm,170.0,Kph,70.8,75.3,69.7,71.9,0.0,8.9,4.1,355.0,88.99,96.4,92.95,"Rain, Light Rain",0.39,100.0,1005.4,38.46
Storm,170.0,Kph,69.9,77.1,69.4,72.6,0.0,4.5,2.6,360.0,83.97,95.8,89.69,Smoke Or Haze,4.02,85.0,1012.0,33.33
Storm,170.0,Kph,68.1,80.7,68.4,72.7,0.0,11.2,2.5,360.0,77.69,91.66,86.58,Smoke Or Haze,0.0,50.0,1016.8,0.0
Storm,170.0,Kph,68.1,75.8,68.0,71.9,0.0,2.2,0.3,360.0,76.02,91.72,87.7,Smoke Or Haze,0.0,81.4,1017.9,0.0
Storm,170.0,Kph,69.9,85.2,72.2,76.6,0.0,2.2,1.3,315.0,75.9,90.73,84.88,Smoke Or Haze,0.0,44.3,1016.3,0.0
Storm,129.0,Kph,72.3,77.6,73.0,74.4,0.0,2.2,1.2,277.14,92.2,96.73,95.31,"Precipitation In Vicinity, Rain, Light Rain, Sky Coverage Increasing, Smoke Or Haze",1.16,100.0,1006.4,100.0
Storm,129.0,Kph,73.5,77.6,74.0,75.4,1.2,4.1,2.0,226.38,91.94,98.09,95.56,"Precipitation In Vicinity, Rain, Fog, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",1.63,98.3,1005.0,100.0
Storm,129.0,Kph,74.3,83.6,74.7,77.9,0.0,3.2,1.7,207.17,79.9,95.77,90.24,"Precipitation In Vicinity, Rain, Rain Showers, Fog, Light Rain, Sky Coverage Increasing, Sky Unchanged, Smoke Or Haze",0.67,90.2,1006.4,50.0
Storm,129.0,Kph,73.4,83.7,73.9,77.8,0.5,2.0,1.3,255.0,75.43,95.72,88.14,"Precipitation In Vicinity, Rain Showers, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",0.37,92.7,1008.0,37.5
Storm,129.0,Kph,73.1,86.4,73.6,79.2,1.2,7.1,3.8,241.25,72.63,92.56,83.4,"Precipitation In Vicinity, Smoke Or Haze",0.0,75.7,1007.1,0.0
Storm,129.0,Kph,75.8,84.8,73.6,80.0,1.8,5.6,3.5,256.86,71.1,90.34,81.28,"Precipitation In Vicinity, Rain Showers, Smoke Or Haze",0.02,99.3,1005.8,14.29
Storm,160.0,Kph,47.2,57.6,51.4,54.5,7.6,23.2,16.4,191.08,83.08,92.29,89.38,"Mist, Light Drizzle, Rain, Rain Showers, Heavy Rain, Light Rain, Smoke Or Haze",3.79,99.6,1002.4,95.83
Storm,160.0,Kph,46.7,55.9,48.1,52.6,6.8,15.9,12.4,200.83,73.1,90.97,84.6,"Mist, Precipitation In Vicinity, Rain, Rain Showers, Heavy Rain, Light Rain",0.25,92.4,1020.2,70.83
Storm,160.0,Kph,38.3,47.0,40.4,42.8,0.0,7.6,3.4,184.39,83.07,95.09,91.39,"Mist, Fog, Light Rain",0.01,68.4,1021.1,12.5
Storm,160.0,Kph,41.1,43.5,38.2,41.9,1.2,8.1,4.5,44.54,78.49,95.11,86.85,"Mist, Light Drizzle, Fog, Light Rain",0.1,99.6,1012.0,41.67
Storm,160.0,Kph,37.1,41.5,32.1,39.5,0.3,7.9,3.1,105.96,62.6,85.09,74.94,"Mist, Light Rain",0.0,96.8,1018.2,0.0
Storm,230.0,Kph,64.5,70.4,65.6,66.7,9.2,25.3,14.7,172.0,82.0,100.0,96.55,"Precipitation In Vicinity, Rain, Light Rain",2.21,95.7,1008.3,17.39
Storm,230.0,Kph,63.8,68.1,64.7,65.8,15.0,28.9,19.8,134.21,81.03,100.0,96.11,"Rain, Light Rain",1.61,98.5,1008.6,16.67
Storm,230.0,Kph,63.6,68.1,64.7,65.4,5.8,13.9,9.8,99.58,86.59,100.0,97.53,"Precipitation In Vicinity, Rain, Light Rain, Sky Unchanged",1.09,93.3,1016.5,16.67
Storm,230.0,Kph,62.7,85.7,64.3,66.2,4.7,18.3,10.2,177.09,45.6,100.0,94.68,"Precipitation In Vicinity, Rain, Light Rain",0.75,91.3,1016.6,13.04
Storm,230.0,Kph,63.8,73.5,64.9,67.0,3.4,18.3,11.0,331.17,72.37,100.0,93.12,"Precipitation In Vicinity, Light Rain, Sky Coverage Increasing",0.28,90.0,1014.1,12.5
